Index,Country,GDP,CPI,Population,logGDP,logCPI,logPop,NGDP,NCPI,NPOP
117,Poland,471.4,2.1,3.80E+07,2.673389578,0.322219295,7.579783597,0.66686715,1.54E-02,0.68
118,Portugal,205.2,1.4,1.03E+07,2.312177356,0.146128036,7.012837225,0.591504119,1.17E-02,0.56
119,Romania,187.8,1.3,1.97E+07,2.273695588,0.113943352,7.294466226,0.583475313,1.11E-02,0.62
120,Russian Federation,1284.7,3.7,1.44E+08,3.108801724,0.568201724,8.158362492,0.757711195,2.38E-02,0.8
121,Rwanda,8.5,8.3,1.19E+07,0.929418926,0.919078092,7.075546961,0.303006496,4.82E-02,0.57
122,Samoa,0.8,1.6,195125,-0.096910013,0.204119983,5.290312916,0.08887404,1.27E-02,0.2
123,San Marino,1.6,1,33203,0.204119983,0,4.521177325,0.1516807,9.54E-03,0.04
124,Sao Tome and Principe,0.4,5.7,199910,-0.397940009,0.755874856,5.300834519,0.026067381,3.44E-02,0.2
125,Saudi Arabia,644.9,-0.2,3.23E+07,2.809492377,#NUM!,7.509202522,0.695263531,3.18E-03,0.66
126,Senegal,14.7,1.3,1.54E+07,1.167317335,0.113943352,7.187520721,0.352641432,1.11E-02,0.59
127,Serbia,38.3,3.1,7.06E+06,1.583198774,0.491361694,6.848804701,0.439410605,2.07E-02,0.52
128,Seychelles,1.4,2.9,94677,0.146128036,0.462397998,4.976244488,0.139581306,1.96E-02,0.13
129,Sierra Leone,3.6,18.2,7.40E+06,0.556302501,1.260071388,6.86923172,0.225159781,1.01E-01,0.53
130,Singapore,309.8,0.6,5.61E+06,2.491081413,-0.22184875,6.748962861,0.62883052,7.42E-03,0.5
131,Slovak Republic,89.8,1.3,5.43E+06,1.953276337,0.113943352,6.73479983,0.516623295,1.11E-02,0.5
132,Slovenia,44.7,1.4,2.07E+06,1.650307523,0.146128036,6.315970345,0.453412122,1.17E-02,0.41
133,Solomon Islands,1.2,0.5,599419,0.079181246,-0.301029996,5.777730505,0.125613581,6.89E-03,0.3
134,South Africa,295.8,5.2,5.60E+07,2.47099817,0.716003344,7.748188027,0.624640367,3.18E-02,0.71
135,South Sudan,2.9,187.9,1.22E+07,0.462397998,2.27392678,7.086359831,0.20556762,1.00E+00,0.57
136,Spain,1237.3,2,4.65E+07,3.092475013,0.301029996,7.667452953,0.754304803,1.48E-02,0.69
137,Sri Lanka,81.8,7.7,2.12E+07,1.912753304,0.886490725,7.326335861,0.508168601,4.50E-02,0.62
138,St. Kitts and Nevis,0.9,0.6,54821,-0.045757491,-0.22184875,4.738946953,0.099546462,7.42E-03,0.08
139,St. Lucia,1.7,0.1,178015,0.230448921,-1,5.250456599,0.157173949,4.77E-03,0.19
140,St. Vincent and the Grenadines,0.8,2.2,109643,-0.096910013,0.342422681,5.03998091,0.08887404,1.59E-02,0.15
141,Suriname,3.3,22,558368,0.51851394,1.342422681,5.746920521,0.217275606,1.21E-01,0.29
142,Eswatini,3.7,6.2,1.34E+06,0.568201724,0.792391689,6.127104798,0.227642426,3.71E-02,0.37
143,Sweden,514.5,1.8,9.92E+06,2.711385379,0.255272505,6.996511672,0.674794564,1.38E-02,0.55
144,Switzerland,668.7,0.5,8.37E+06,2.825231323,-0.301029996,6.922725458,0.698547292,6.89E-03,0.54
145,Tanzania,47.4,5.3,5.56E+07,1.675778342,0.72427587,7.745074792,0.458726333,3.23E-02,0.71
146,Thailand,411.8,0.7,6.89E+07,2.614686342,-0.15490196,7.838219222,0.654619354,7.95E-03,0.73
147,Timor-Leste,2.5,0.6,1.27E+06,0.397940009,-0.22184875,6.103803721,0.192119156,7.42E-03,0.37
148,Togo,4.4,-0.8,7.61E+06,0.643452676,#NUM!,6.881384657,0.243342725,0.00E+00,0.53
149,Trinidad and Tobago,22.3,1.9,1.36E+06,1.348304863,0.278753601,6.133538908,0.390402526,1.43E-02,0.37
