Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
90,Maldives,4.2,2.7,"427,756",3.9,0.000209405,3.5,0.01854796,MDV,18.70642857
91,Mali,14,1.8,"18,000,000",13.7,0.000735602,2.6,0.013778484,MLI,24.10149357
92,Malta,11.3,1.4,"455,356",11,0.000590629,2.2,0.011658718,MLT,18.79663537
93,Mauritania,4.7,2.3,"4,300,000",4.4,0.000236252,3.1,0.016428193,MRT,22.03590523
94,Mauritius,12.2,3.7,"1,260,000",11.9,0.000638954,4.5,0.023847377,MUS,20.2649923
95,Mexico,1076.9,6,"128,000,000",1076.6,0.05780651,6.8,0.036036036,MEX,26.93156857
96,Moldova,6.8,6.6,"3,550,000",6.5,0.000349008,7.4,0.039215686,MDA,21.75938759
97,Mongolia,11.2,4.1,"3,030,000",10.9,0.00058526,4.9,0.025967144,MNG,21.53088636
98,Montenegro,4.4,2.4,"622,303",4.1,0.000220144,3.2,0.016958135,MNE,19.24725768
99,Morocco,103.6,0.8,"35,300,000",103.3,0.005546547,1.6,0.008479067,MAR,25.07316485
100,Mozambique,11,15.1,"28,800,000",10.7,0.000574521,15.9,0.084260731,MOZ,24.77956548
101,Myanmar,63.2,4.6,"52,900,000",62.9,0.003377326,5.4,0.028616852,MMR,25.65676439
102,Namibia,11.3,6.1,"2,480,000",11,0.000590629,6.9,0.036565978,NAM,21.24190869
103,Nepal,21.1,3.2,"29,000,000",20.8,0.001116826,4,0.021197668,NPL,24.78954956
104,Netherlands,777.2,1.4,"17,000,000",776.9,0.041714543,2.2,0.011658718,NLD,24.01903141
105,New Zealand,189.3,1.9,"4,690,000",189,0.010148087,2.7,0.014308426,NZL,22.16115649
106,Nicaragua,13.2,3.9,"6,150,000",12.9,0.000692647,4.7,0.02490726,NIC,22.55215498
107,Niger,7.6,2.4,"20,700,000",7.3,0.000391963,3.2,0.016958135,NER,24.30312743
108,Nigeria,404.7,16.5,"186,000,000",404.4,0.021713684,17.3,0.091679915,NGA,27.47072738
109,Norway,371.1,1.9,"5,230,000",370.8,0.01990958,2.7,0.014308426,NOR,22.31837952
110,Oman,66.8,1.6,"4,420,000",66.5,0.003570623,2.4,0.012718601,OMN,22.07561494
111,Pakistan,278.7,4.1,"193,000,000",278.4,0.014948293,4.9,0.025967144,PAK,27.52402561
112,Palau,0.3,1.3,"21,503",0,0,2.1,0.011128776,PLW,14.39225033
113,Panama,57.8,0.9,"4,030,000",57.5,0.003087381,1.7,0.009009009,PAN,21.94234841
114,Paraguay,27.4,3.6,"6,730,000",27.1,0.001455096,4.4,0.023317435,PRY,22.68217507
115,Peru,191.6,2.8,"31,800,000",191.3,0.010271582,3.6,0.019077901,PER,24.92252343
116,Philippines,304.9,2.9,"103,000,000",304.6,0.016355065,3.7,0.019607843,PHL,26.6180691
117,Poland,471.4,2.1,"38,000,000",471.1,0.025295046,2.9,0.015368309,POL,25.17949608
118,Portugal,205.2,1.4,"10,300,000",204.9,0.011001815,2.2,0.011658718,PRT,23.296141
119,Romania,187.8,1.3,"19,700,000",187.5,0.010067547,2.1,0.011128776,ROU,24.23169229
120,Russian Federation,1284.7,3.7,"144,000,000",1284.4,0.068964036,4.5,0.023847377,RUS,27.10149357
121,Rwanda,8.5,8.3,"11,900,000",8.2,0.000440287,9.1,0.048224695,RWA,23.50445824
122,Samoa,0.8,1.6,"195,125",0.5,2.68E-05,2.4,0.012718601,WSM,17.57403911
123,San Marino,1.6,1,"33,203",1.3,6.98E-05,1.8,0.009538951,SMR,15.01902598
124,Sao Tome and Principe,0.4,5.7,"199,910",0.1,5.37E-06,6.5,0.034446211,STP,17.60899112
125,Saudi Arabia,644.9,-0.2,"32,300,000",644.6,0.034610883,0.6,0.00317965,SAU,24.94503083
126,Senegal,14.7,1.3,"15,400,000",14.4,0.000773188,2.1,0.011128776,SEN,23.87642702
